id_pesquisa,titulo,area_direito,sub_area,link_acordaos,link_toc,data_atualizacao,data_atualizacao_str
000009120,"Verificação da validade da assinatura digital em contratos e documentos
eletrônicos.",DIREITO CIVIL,Contratos,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009120/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009120',2025-04-28 00:00:00-03:00,2025-04-28T00:00:00-03:00
000009142,"Denunciação da lide. Pretensão de reconhecimento de culpa de terceiro pelo
evento danoso.",DIREITO PROCESSUAL CIVIL,INTERVENÇÃO DE TERCEIROS,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009142/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009142',2025-04-28 00:00:00-03:00,2025-04-28T00:00:00-03:00
000009090,"Discussão sobre a legitimidade passiva. Fundo Nacional de Desenvolvimento da
Educação -FNDE, enquanto gestor do Fundo de Financiamento ao Estudante do Ensino
Superior - FIES e operador do Sistema Informatizado do FIES - SisFIES.",DIREITO ADMINISTRATIVO,EDUCAÇÃO,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009090/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009090',2025-04-22 00:00:00-03:00,2025-04-22T00:00:00-03:00
000009124,Discussão sobre o dano moral em razão da fraude na contratação de empréstimo.,DIREITO BANCÁRIO,RESPONSABILIDADE CIVIL,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009124/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009124',2025-04-22 00:00:00-03:00,2025-04-22T00:00:00-03:00
000009082,"Remoção de inventariante, com a substituição por outro, dativo, em decorrência
da animosidade entre as partes.",DIREITO CIVIL,SUCESSÕES,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009082/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009082',2025-04-14 00:00:00-03:00,2025-04-14T00:00:00-03:00
000009084,"Aplicação da Lei da Alienação Fiduciária de Imóveis - Lei nº 9.514/1997 - na
resolução do contrato por inadimplência da incorporadora.",DIREITO CIVIL,ALIENAÇÃO FIDUCIÁRIA,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009084/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009084',2025-04-14 00:00:00-03:00,2025-04-14T00:00:00-03:00
000009050,Prejudicialidade entre ações possessórias e de usucapião sobre o mesmo imóvel.,DIREITO CIVIL,USUCAPIAO,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009050/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009050',2025-04-07 00:00:00-03:00,2025-04-07T00:00:00-03:00
000009061,Conceito de Jurisprudência Dominante.,DIREITO PROCESSUAL CIVIL,Processo nos Tribunais,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009061/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009061',2025-04-07 00:00:00-03:00,2025-04-07T00:00:00-03:00
000009018,"Competência para o julgamento da ação de despejo proposta contra empresa em
recuperação judicial.",DIREITO EMPRESARIAL,FALÊNCIA E RECUPERAÇÃO JUDICIAL,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009018/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009018',2025-03-24 00:00:00-03:00,2025-03-24T00:00:00-03:00
000009023,"Transmissão do crédito relativo à multa cominatória (astreintes) aos sucessores
do autor falecido no curso da ação.",DIREITO PROCESSUAL CIVIL,MULTA DIÁRIA (ASTREINTES),https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009023/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009023',2025-03-24 00:00:00-03:00,2025-03-24T00:00:00-03:00
000009031,Contrato atípico de hospedagem em condomínio residencial.,DIREITO CIVIL,CONDOMÍNIO,https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=000009031/0,https://scon.stj.jus.br/SCON/pesquisa_pronta/toc.jsp?livre=@docn='000009031',2025-03-18 00:00:00-03:00,2025-03-18T00:00:00-03:00
